index,video,begin_s,end_s,begin_f,end_f
5,video_test_0000538,38.5,43.8,121,136
6,video_test_0000538,50.8,57.0,159,177
7,video_test_0000538,59.4,63.9,186,199
8,video_test_0000538,65.9,70.9,206,221
9,video_test_0000538,85.6,89.3,267,278
10,video_test_0000538,93.7,98.8,293,307
11,video_test_0000538,101.4,104.8,317,326
12,video_test_0000538,106.4,109.6,332,341
13,video_test_0000538,125.9,129.9,393,404
14,video_test_0000538,133.0,136.7,415,426
15,video_test_0000538,162.1,165.6,506,516
0,video_test_0000839,11.0,14.0,35,43
1,video_test_0000839,22.7,28.0,71,87
2,video_test_0000839,28.8,30.6,90,95
3,video_test_0000839,32.4,38.4,102,119
4,video_test_0000839,39.3,42.1,123,131
5,video_test_0000839,44.6,46.8,140,146
6,video_test_0000839,66.6,73.1,208,228
7,video_test_0000839,74.9,79.7,234,248
8,video_test_0000839,81.5,87.7,255,273
9,video_test_0000839,89.7,92.3,280,288
10,video_test_0000839,95.6,101.9,299,318
11,video_test_0000839,105.7,111.5,330,348
12,video_test_0000839,115.3,121.9,360,380
13,video_test_0000839,136.1,142.7,425,445
14,video_test_0000839,144.5,150.2,452,468
15,video_test_0000839,155.1,160.4,485,500
16,video_test_0000839,163.8,169.4,512,528
17,video_test_0000839,174.7,178.9,546,558
18,video_test_0000839,179.9,183.9,562,574
19,video_test_0000839,185.8,193.7,580,604
20,video_test_0000839,196.9,205.0,615,639
21,video_test_0000839,206.7,209.6,646,654
22,video_test_0000839,212.3,219.1,663,683
23,video_test_0000839,223.8,231.9,699,723
24,video_test_0000839,233.9,241.4,731,753
25,video_test_0000839,248.7,255.5,777,797
26,video_test_0000839,264.5,270.9,826,845
27,video_test_0000839,272.7,278.3,852,868
28,video_test_0000839,281.7,286.6,880,894
29,video_test_0000839,289.6,295.6,904,922
30,video_test_0000839,299.5,305.6,935,953
31,video_test_0000839,309.8,317.4,967,990
32,video_test_0000839,318.8,324.9,996,1014
33,video_test_0000839,331.4,335.7,1035,1047
34,video_test_0000839,339.9,345.3,1061,1077
35,video_test_0000839,353.5,362.0,1104,1129
0,video_test_0000887,48.0,51.3,150,160
1,video_test_0000887,52.2,56.6,164,176
2,video_test_0000887,57.9,62.7,181,195
3,video_test_0000887,65.1,70.1,204,218
4,video_test_0000887,157.4,163.5,492,510
5,video_test_0000887,167.2,171.1,523,534
6,video_test_0000887,171.7,174.4,537,544
7,video_test_0000887,177.5,180.3,555,563
8,video_test_0000887,182.1,188.2,569,587
9,video_test_0000887,249.1,269.4,778,841
10,video_test_0000887,271.4,317.7,848,992
11,video_test_0000887,361.0,382.0,1128,1192
0,video_test_0000896,18.6,24.8,59,77
1,video_test_0000896,29.1,34.8,91,108
2,video_test_0000896,41.0,47.4,129,147
3,video_test_0000896,57.2,64.0,179,199
4,video_test_0000896,69.4,78.7,217,245
5,video_test_0000896,82.4,88.6,258,276
6,video_test_0000896,89.8,94.8,281,295
0,video_test_0001008,7.3,13.8,23,42
1,video_test_0001008,17.5,20.3,55,63
2,video_test_0001008,26.0,31.6,81,98
3,video_test_0001008,37.5,42.9,117,133
4,video_test_0001008,46.1,49.1,144,152
5,video_test_0001008,55.5,62.5,173,194
6,video_test_0001008,68.0,73.5,212,228
7,video_test_0001008,80.0,86.8,249,270
8,video_test_0001008,90.8,93.3,283,290
9,video_test_0001008,95.7,99.3,298,309
0,video_test_0001098,1.0,26.3,4,82
1,video_test_0001098,27.0,33.0,85,102
2,video_test_0001098,33.5,51.2,105,159
3,video_test_0001098,51.7,56.5,162,176
4,video_test_0001098,59.2,69.9,185,218
5,video_test_0001098,72.9,91.2,228,284
6,video_test_0001098,93.2,100.8,291,314
7,video_test_0001098,101.2,109.2,316,340
8,video_test_0001098,109.8,112.6,343,351
9,video_test_0001098,112.9,122.0,353,380
10,video_test_0001098,122.4,129.7,382,404
11,video_test_0001098,132.1,142.7,413,445
12,video_test_0001098,143.7,152.5,449,475
13,video_test_0001098,154.0,163.2,481,509
0,video_validation_0000361,74.6,78.6,233,245
1,video_validation_0000361,101.9,106.8,319,333
2,video_validation_0000361,112.5,116.5,352,363
3,video_validation_0000361,117.4,122.5,367,382
4,video_validation_0000361,127.0,132.7,397,414
5,video_validation_0000361,152.2,154.1,476,481
6,video_validation_0000361,157.3,160.8,492,502
7,video_validation_0000361,160.9,163.9,503,511
8,video_validation_0000361,172.1,183.7,538,573
9,video_validation_0000361,188.8,192.7,590,601
10,video_validation_0000361,194.9,199.9,609,624
11,video_validation_0000361,204.0,208.0,638,649
12,video_validation_0000361,214.1,218.6,669,682
13,video_validation_0000361,227.4,232.1,711,724
14,video_validation_0000361,235.7,239.3,737,747
15,video_validation_0000361,244.9,249.9,765,780
16,video_validation_0000361,250.3,252.7,782,789
17,video_validation_0000361,257.7,261.5,805,816
18,video_validation_0000361,265.3,270.8,829,845
19,video_validation_0000361,272.4,279.4,851,872
20,video_validation_0000361,280.5,285.9,876,892
21,video_validation_0000361,286.5,290.5,895,907
22,video_validation_0000361,293.1,303.1,916,946
23,video_validation_0000361,303.7,308.8,949,964
24,video_validation_0000361,318.4,322.1,995,1005
25,video_validation_0000361,325.1,329.6,1016,1029
26,video_validation_0000361,330.8,334.4,1034,1044
27,video_validation_0000361,336.3,340.0,1051,1061
28,video_validation_0000361,342.2,344.2,1069,1074
29,video_validation_0000361,346.8,351.1,1084,1096
30,video_validation_0000361,360.0,364.5,1125,1138
31,video_validation_0000361,373.1,387.1,1166,1208
32,video_validation_0000361,394.5,400.5,1232,1250
33,video_validation_0000361,400.8,403.2,1252,1259
34,video_validation_0000361,410.6,414.2,1283,1293
35,video_validation_0000361,414.6,419.1,1295,1308
36,video_validation_0000361,419.5,422.7,1311,1320
37,video_validation_0000361,429.9,436.7,1343,1363
38,video_validation_0000361,442.3,447.5,1382,1397
39,video_validation_0000361,448.3,449.4,1400,1403
40,video_validation_0000361,458.4,461.4,1432,1440
41,video_validation_0000361,465.3,472.3,1454,1474
42,video_validation_0000361,473.8,476.7,1480,1488
43,video_validation_0000361,483.4,487.8,1510,1523
44,video_validation_0000361,505.5,510.1,1579,1592
45,video_validation_0000361,512.4,516.1,1601,1611
46,video_validation_0000361,520.9,524.5,1627,1637
47,video_validation_0000361,531.0,536.0,1659,1673
48,video_validation_0000361,577.4,579.5,1804,1809
49,video_validation_0000361,579.7,581.6,1811,1816
50,video_validation_0000361,583.8,584.9,1824,1826
51,video_validation_0000361,589.2,591.9,1841,1848
52,video_validation_0000361,592.7,597.2,1851,1864
53,video_validation_0000361,597.6,605.0,1867,1889
54,video_validation_0000361,630.0,635.7,1968,1985
55,video_validation_0000361,642.9,644.7,2008,2013
56,video_validation_0000361,646.0,648.3,2018,2024
57,video_validation_0000361,667.9,671.7,2086,2097
58,video_validation_0000361,672.2,676.9,2100,2113
0,video_validation_0000362,20.0,22.6,63,70
1,video_validation_0000362,22.8,23.5,72,73
2,video_validation_0000362,23.6,25.2,74,78
3,video_validation_0000362,25.2,26.5,79,82
4,video_validation_0000362,27.1,28.1,85,87
5,video_validation_0000362,29.5,30.4,93,94
6,video_validation_0000362,30.8,32.2,97,100
7,video_validation_0000362,32.8,35.0,103,109
8,video_validation_0000362,36.2,37.6,114,117
9,video_validation_0000362,38.6,41.0,121,128
10,video_validation_0000362,44.8,45.8,140,143
11,video_validation_0000362,52.7,54.1,165,168
12,video_validation_0000362,54.9,56.2,172,175
13,video_validation_0000362,56.6,58.0,177,181
14,video_validation_0000362,58.2,59.3,182,185
15,video_validation_0000362,60.2,64.6,189,201
16,video_validation_0000362,71.7,73.4,224,229
17,video_validation_0000362,76.4,77.4,239,241
18,video_validation_0000362,92.0,95.7,288,298
19,video_validation_0000362,96.0,98.7,300,308
20,video_validation_0000362,100.2,103.6,313,323
21,video_validation_0000362,103.8,108.0,325,337
22,video_validation_0000362,119.4,124.5,373,388
23,video_validation_0000362,126.4,131.6,395,410
24,video_validation_0000362,134.4,139.3,420,435
25,video_validation_0000362,141.3,147.4,442,460
26,video_validation_0000362,147.6,151.3,461,472
27,video_validation_0000362,151.5,158.0,474,493
28,video_validation_0000362,166.9,172.1,522,537
29,video_validation_0000362,181.8,185.4,568,579
30,video_validation_0000362,188.8,196.8,590,614
31,video_validation_0000362,202.3,207.6,632,648
32,video_validation_0000362,214.3,217.8,670,680
33,video_validation_0000362,253.0,258.8,791,808
34,video_validation_0000362,268.2,272.0,838,849
35,video_validation_0000362,301.2,311.9,941,974
36,video_validation_0000362,312.4,318.0,976,993
37,video_validation_0000362,318.2,320.1,994,999
38,video_validation_0000362,320.4,322.2,1001,1006
39,video_validation_0000362,322.4,324.0,1007,1011
40,video_validation_0000362,332.4,333.8,1039,1042
41,video_validation_0000362,333.8,339.0,1043,1058
42,video_validation_0000362,346.4,349.6,1082,1091
43,video_validation_0000362,349.6,352.8,1092,1101
44,video_validation_0000362,352.8,355.4,1102,1109
45,video_validation_0000362,355.6,358.7,1111,1120
46,video_validation_0000362,380.4,383.5,1188,1197
47,video_validation_0000362,391.9,394.5,1224,1232
48,video_validation_0000362,408.1,417.0,1275,1302
49,video_validation_0000362,429.4,433.1,1342,1352
50,video_validation_0000362,440.5,443.7,1376,1385
51,video_validation_0000362,458.8,476.4,1433,1487
52,video_validation_0000362,483.8,490.0,1511,1530
53,video_validation_0000362,493.0,496.2,1540,1549
0,video_validation_0000363,21.89,27.49,69,85
1,video_validation_0000363,28.19,33.2,89,103
2,video_validation_0000363,46.31,51.58,145,161
3,video_validation_0000363,52.29,56.69,164,177
4,video_validation_0000363,58.19,62.1,182,193
5,video_validation_0000363,62.6,68.2,196,212
6,video_validation_0000363,79.41,85.29,249,266
7,video_validation_0000363,101.3,106.61,317,332
8,video_validation_0000363,114.31,118.28,357,369
9,video_validation_0000363,118.79,123.59,371,385
10,video_validation_0000363,131.8,136.9,412,427
11,video_validation_0000363,137.9,140.01,431,437
12,video_validation_0000363,147.21,153.09,460,478
13,video_validation_0000363,156.09,158.79,488,495
14,video_validation_0000363,178.61,186.89,558,583
15,video_validation_0000363,201.1,206.41,629,644
16,video_validation_0000363,206.71,209.81,646,655
17,video_validation_0000363,213.81,219.19,668,684
18,video_validation_0000363,235.3,241.01,735,752
19,video_validation_0000363,253.39,256.49,792,801
20,video_validation_0000363,274.51,279.41,858,872
21,video_validation_0000363,280.31,285.99,876,893
22,video_validation_0000363,289.89,293.89,906,917
23,video_validation_0000363,294.69,300.2,921,937
24,video_validation_0000363,301.4,304.4,942,950
25,video_validation_0000363,311.41,316.88,973,989
26,video_validation_0000363,323.69,328.19,1011,1024
27,video_validation_0000363,331.4,336.5,1035,1050
28,video_validation_0000363,337.7,340.31,1055,1062
29,video_validation_0000363,364.8,369.6,1140,1154
30,video_validation_0000363,369.9,372.11,1156,1162
31,video_validation_0000363,372.61,377.91,1164,1180
32,video_validation_0000363,390.39,398.8,1220,1245
33,video_validation_0000363,400.2,405.11,1250,1265
34,video_validation_0000363,406.11,409.31,1269,1278
35,video_validation_0000363,426.69,431.0,1333,1346
36,video_validation_0000363,436.8,442.31,1365,1381
37,video_validation_0000363,442.61,444.91,1383,1389
38,video_validation_0000363,455.79,457.89,1424,1430
39,video_validation_0000363,458.49,461.8,1432,1442
40,video_validation_0000363,462.8,466.5,1446,1456
41,video_validation_0000363,466.9,471.71,1459,1473
42,video_validation_0000363,473.41,478.51,1479,1494
43,video_validation_0000363,479.21,484.68,1497,1513
44,video_validation_0000363,486.49,488.89,1520,1526
45,video_validation_0000363,493.29,496.2,1541,1549
46,video_validation_0000363,508.61,514.51,1589,1606
47,video_validation_0000363,519.99,521.69,1624,1629
48,video_validation_0000363,523.09,527.59,1634,1647
49,video_validation_0000363,529.3,532.5,1654,1663
50,video_validation_0000363,533.9,538.2,1668,1680
51,video_validation_0000363,546.71,551.08,1708,1721
52,video_validation_0000363,552.09,556.49,1725,1737
53,video_validation_0000363,562.1,565.8,1756,1767
54,video_validation_0000363,566.5,570.6,1770,1782
55,video_validation_0000363,571.6,574.31,1786,1793
56,video_validation_0000363,575.51,580.31,1798,1812
57,video_validation_0000363,580.61,583.22,1814,1821
58,video_validation_0000363,583.38,586.99,1822,1833
59,video_validation_0000363,587.99,592.39,1837,1850
60,video_validation_0000363,592.79,594.89,1852,1857
61,video_validation_0000363,598.4,603.9,1869,1885
62,video_validation_0000363,605.01,608.81,1890,1901
63,video_validation_0000363,610.61,614.51,1907,1919
64,video_validation_0000363,619.49,624.69,1935,1950
65,video_validation_0000363,625.49,629.4,1954,1965
66,video_validation_0000363,629.8,632.6,1967,1975
67,video_validation_0000363,633.3,636.3,1978,1987
68,video_validation_0000363,654.89,659.29,2046,2058
69,video_validation_0000363,709.21,714.91,2215,2232
70,video_validation_0000363,717.28,720.79,2241,2251
71,video_validation_0000363,731.8,736.1,2286,2298
0,video_validation_0000364,23.0,32.4,72,100
1,video_validation_0000364,74.6,80.0,233,249
2,video_validation_0000364,86.5,91.5,270,285
3,video_validation_0000364,95.2,98.6,297,307
6,video_validation_0000364,53.6,64.3,168,200
7,video_validation_0000364,98.6,106.7,308,332
0,video_validation_0000365,18.1,24.3,57,75
1,video_validation_0000365,29.6,33.3,93,103
2,video_validation_0000365,69.7,77.3,218,241
3,video_validation_0000365,80.8,84.3,253,263
4,video_validation_0000365,110.4,116.2,345,362
5,video_validation_0000365,145.3,151.2,454,471
6,video_validation_0000365,192.9,198.5,603,619
7,video_validation_0000365,213.0,219.9,665,686
0,video_validation_0000366,0.4,2.8,2,8
1,video_validation_0000366,4.9,14.4,16,44
0,video_validation_0000367,85.2,90.9,266,283
1,video_validation_0000367,92.8,97.6,290,304
2,video_validation_0000367,98.3,102.4,307,319
3,video_validation_0000367,104.7,112.3,327,349
4,video_validation_0000367,116.2,123.6,363,385
0,video_validation_0000368,40.0,42.4,125,132
1,video_validation_0000368,43.4,47.8,136,149
2,video_validation_0000368,51.3,58.9,161,183
3,video_validation_0000368,61.3,73.6,192,229
4,video_validation_0000368,202.7,210.2,634,656
5,video_validation_0000368,251.9,262.5,787,819
6,video_validation_0000368,268.2,279.1,838,871
0,video_validation_0000369,160.89,168.0,503,524
1,video_validation_0000369,171.81,178.21,537,556
2,video_validation_0000369,218.18,225.59,682,704
3,video_validation_0000369,230.0,236.0,719,737
4,video_validation_0000369,257.99,262.4,806,819
5,video_validation_0000369,267.3,269.9,836,843
6,video_validation_0000369,288.89,292.49,903,913
7,video_validation_0000369,299.1,304.6,935,951
8,video_validation_0000369,305.21,307.61,954,960
9,video_validation_0000369,335.1,342.31,1047,1069
10,video_validation_0000369,349.12,355.19,1091,1109
11,video_validation_0000369,393.59,396.9,1230,1239
12,video_validation_0000369,402.0,407.81,1256,1273
13,video_validation_0000369,420.69,425.49,1315,1329
14,video_validation_0000369,430.2,433.5,1344,1354
15,video_validation_0000369,434.7,437.4,1358,1366
16,video_validation_0000369,457.89,462.7,1431,1445
17,video_validation_0000369,470.6,474.51,1471,1482
18,video_validation_0000369,506.31,511.21,1582,1597
19,video_validation_0000369,518.79,522.19,1621,1631
20,video_validation_0000369,553.39,557.29,1729,1740
21,video_validation_0000369,566.1,571.4,1769,1785
22,video_validation_0000369,606.71,612.01,1896,1911
23,video_validation_0000369,624.29,628.4,1951,1963
24,video_validation_0000369,668.0,673.91,2087,2105
25,video_validation_0000369,679.01,681.61,2122,2129
26,video_validation_0000369,741.11,745.61,2316,2329
27,video_validation_0000369,752.89,756.59,2353,2363
28,video_validation_0000369,756.89,759.59,2365,2372
0,video_validation_0000370,86.4,92.5,270,288
1,video_validation_0000370,95.5,98.8,299,308
2,video_validation_0000370,131.5,139.0,411,434
3,video_validation_0000370,143.5,146.1,449,456
4,video_validation_0000370,146.4,149.1,458,465
5,video_validation_0000370,173.5,178.6,542,557
6,video_validation_0000370,184.9,188.5,578,588
7,video_validation_0000370,190.2,194.1,595,606
8,video_validation_0000370,239.1,243.6,747,760
9,video_validation_0000370,250.1,253.1,782,790
10,video_validation_0000370,254.6,258.1,796,806
11,video_validation_0000370,287.5,293.4,899,916
12,video_validation_0000370,297.2,301.7,929,942
13,video_validation_0000370,303.5,307.3,949,959
14,video_validation_0000370,330.0,334.5,1031,1044
15,video_validation_0000370,351.9,355.3,1100,1109
16,video_validation_0000370,356.6,361.8,1114,1130
17,video_validation_0000370,397.0,401.8,1241,1255
18,video_validation_0000370,409.1,413.2,1278,1290
19,video_validation_0000370,445.8,451.8,1393,1411
20,video_validation_0000370,463.4,467.0,1448,1458
21,video_validation_0000370,467.9,470.9,1462,1470
22,video_validation_0000370,477.4,482.3,1492,1506
23,video_validation_0000370,547.7,552.1,1711,1724
24,video_validation_0000370,562.8,566.6,1758,1769
25,video_validation_0000370,611.1,615.3,1909,1921
26,video_validation_0000370,566.9,569.7,1771,1779
