,video,begin,end
285,video_test_0001495,201.6,207.21
286,video_test_0001495,212.51,216.42
287,video_test_0001495,244.71,253.39
288,video_test_0001495,264.0,268.7
289,video_test_0001495,274.51,278.21
290,video_test_0001495,298.8,306.21
291,video_test_0001495,318.59,324.39
292,video_test_0001495,328.8,335.2
293,video_test_0001495,343.21,352.79
294,video_test_0001495,361.7,365.2
295,video_test_0001495,368.8,375.41
296,video_test_0001495,389.49,396.5
297,video_test_0001495,407.61,415.32
298,video_test_0001495,418.39,423.79
299,video_test_0001495,436.0,446.11
300,video_test_0001495,455.19,463.4
301,video_test_0001495,464.5,470.8
302,video_test_0001495,487.49,496.3
303,video_test_0001495,506.71,510.61
304,video_test_0001495,514.41,519.09
